Model,K,Precision@K,Recall@K,NDCG@K,MAP@K,F1@K,ILD@K,Serendipity@K,Novelty@K,DOPM@K,LongTailCoverage@K,FAS_Fairness@K,GenreEntropy@K,ProducerFairness@K,GenreCoverage@K,CatalogCoverage@K
moea_miae,20,0.06521739130434784,0.11079723408160123,0.11317914107427214,0.04213811058925692,0.0688067769586508,0.361195652173913,0.2037432750617933,0.2856314452925816,1.7199455983509593,0.04885869565217391,0.9338191263602748,2.3702482034934493,0.2771540653807968,1.0,0.603448275862069
moea_miae,25,0.06217391304347827,0.12995284468154636,0.12372835706380399,0.04458362047207739,0.0713072185205534,0.317304347826087,0.20290705487527208,0.28545746454504334,1.7171934500443546,0.04917391304347827,0.9385018561401726,2.4412480954208227,0.271298084892918,1.0,0.6189060642092746
moea_miae,30,0.059202898550724636,0.14894638237644578,0.13684735420583075,0.048007398833249594,0.0725996751245948,0.2872463768115942,0.20261644237618343,0.28526866861215805,1.7209176054591502,0.04876811594202898,0.9415034744818069,2.5035073804480894,0.267116126336776,1.0,0.6302021403091558
crossgcl,5,0.2658695652173913,0.1504061910522652,0.3031565601393401,0.21442753623188407,0.15621396269484822,0.6482608695652173,0.05766619065798797,0.07203819525673887,2.1487200260777835,0.0004347826086956522,0.8965182581815904,1.5189980571007353,0.174900439824623,0.9444444444444444,0.09215219976218787
crossgcl,10,0.2219565217391304,0.2338322447667126,0.29833789992003973,0.18066311194365026,0.18511640399313023,0.4429347826086957,0.07164243728108335,0.09067667985955519,2.0169078878758717,0.0010869565217391304,0.9149462240689966,1.8344965790183687,0.18494624557547604,0.9444444444444444,0.13436385255648037
crossgcl,15,0.192463768115942,0.29925227687488765,0.30497956356474737,0.1718751445258032,0.19211951871861432,0.34478260869565225,0.08045133444879063,0.10304723730458125,1.9294315044868036,0.0011594202898550727,0.9243225307589444,1.9744088053865683,0.19102308471288654,0.9444444444444444,0.16884661117717004
crossgcl,20,0.17532608695652174,0.35620901924048004,0.31760719238639445,0.1708237126722506,0.19536610733545964,0.291195652173913,0.08709214740337867,0.11314525811654605,1.8690287219375656,0.0016304347826086956,0.9306374143746219,2.0753005100864583,0.19387659677269595,0.9444444444444444,0.20332936979785968
crossgcl,25,0.16095652173913044,0.4023209857214396,0.32952924023978286,0.1720381588275232,0.1936212081788316,0.25665217391304357,0.09230914318820092,0.12179915011241509,1.8199813845088786,0.002217391304347826,0.9351070796702939,2.1574939891088083,0.19481263875458732,1.0,0.2384066587395957
crossgcl,30,0.1484057971014493,0.4397822711178626,0.3404783427336123,0.17406026632545482,0.18917377330299393,0.2319927536231884,0.09652980932711389,0.12954100103905328,1.7784311809643183,0.0026811594202898552,0.938926841726217,2.226908920758419,0.19372200089556849,1.0,0.26040428061831156
dcrlrec,5,0.12369565217391304,0.05258390209172197,0.1410510369945379,0.09059692028985507,0.061541103204607345,0.4454347826086957,0.0706527664787298,0.2326967858045153,1.307593952121175,0.042608695652173914,0.8782013641231492,0.8818866505012686,0.16528994314457082,1.0,0.2170035671819263
dcrlrec,10,0.10978260869565218,0.09098060679970948,0.1379458742991547,0.07151025560183816,0.08283994610099445,0.3240217391304348,0.0703276446748117,0.2392842443351728,1.229523702673163,0.056956521739130433,0.8872766633552784,1.2568896149167477,0.1422655701984282,1.0,0.30737217598097505
dcrlrec,15,0.09768115942028985,0.11819001741120164,0.13818066261030976,0.06466970605331045,0.08992983292480379,0.25934782608695656,0.0699402460771302,0.24336349877192232,1.1798948062550827,0.06340579710144927,0.8923436703088131,1.4103115779734614,0.1316575162689977,1.0,0.3816884661117717
dcrlrec,20,0.09010869565217391,0.14203162012293732,0.1424440258516761,0.06252262498782578,0.09383159336750553,0.2184782608695652,0.06838038967047734,0.247030093874927,1.1304727663235277,0.06760869565217392,0.8957044227647125,1.5073727973227193,0.12188904012756516,1.0,0.4346016646848989
dcrlrec,25,0.0842608695652174,0.16225187559465581,0.14740121951849758,0.06196414574624183,0.09527644391201279,0.19173913043478263,0.0669976763001159,0.2505123955839868,1.0918470081622116,0.07178260869565219,0.8984139295483273,1.577907959867664,0.11534697289955574,1.0,0.48335315101070153
dcrlrec,30,0.07960144927536232,0.18351104465651627,0.15373981862770839,0.06233774757808526,0.09621124604745948,0.17130434782608694,0.06557329984445438,0.25383768740489465,1.0580454818636629,0.07594202898550725,0.9007338047729683,1.6327927571196488,0.10946840330319961,1.0,0.5196195005945303
pure_ncf,5,0.29304347826086957,0.15195742921848726,0.3308250992774766,0.24072856280193236,0.16643380577261152,0.6204347826086956,0.09690655611810528,0.1184045957202755,2.1436907391217743,0.0015217391304347828,0.8955094778376887,1.4379611806906976,0.23919173187110232,1.0,0.19976218787158145
pure_ncf,10,0.24869565217391307,0.25255851451186334,0.32932151789162356,0.20674885303356444,0.20442632523142645,0.4467391304347826,0.11096961541918203,0.13576039715147642,2.0987942352648012,0.002065217391304348,0.9155229443952446,1.835189363687512,0.2343346368464191,1.0,0.2806183115338882
pure_ncf,15,0.217536231884058,0.32346760585750023,0.3365912982817071,0.19689053784120558,0.21449459433626583,0.35884057971014494,0.11980571959430704,0.14673594236820986,2.06228178900869,0.002318840579710145,0.9254295510716494,2.02128768332213,0.23114164969048928,1.0,0.34244946492271106
pure_ncf,20,0.19646739130434782,0.3822339870588161,0.34816852738001797,0.19502656303418664,0.21663972013414412,0.3044565217391304,0.12683399709636894,0.15537364493627526,2.0261938373436745,0.003315217391304348,0.931777560721622,2.1343652626748963,0.22915277090419645,1.0,0.38466111771700356
pure_ncf,25,0.1783913043478261,0.42582697750222953,0.3583042902050019,0.1950650445373988,0.21283800214930965,0.2695217391304348,0.1331278915241176,0.16308530914137437,1.995370586892185,0.004565217391304348,0.936117969177432,2.2225059054489935,0.22671374987371398,1.0,0.4268727705112961
pure_ncf,30,0.16492753623188408,0.465052813048808,0.3700964974863592,0.19773962227726247,0.20853593685974775,0.24369565217391306,0.13889108300473768,0.17015766900541796,1.963904809059872,0.005398550724637682,0.9394981056108169,2.2838399394449356,0.22575168507523702,1.0,0.45659928656361476
fasmoea,5,0.21521739130434783,0.11062945017791274,0.23823837559314387,0.16245833333333334,0.12206921144187527,0.6513043478260869,0.12655554313757636,0.17872716961325388,1.831727508491958,0.034782608695652174,0.9006822902323963,1.5324743391975015,0.23837442639824935,1.0,0.4340071343638526
fasmoea,10,0.19043478260869567,0.19101355830972147,0.24398850728693458,0.14110067955322228,0.15590554194432393,0.4731521739130435,0.1331465506155643,0.1861597278319551,1.8161063235540589,0.034239130434782605,0.9245745757258201,1.964591855014453,0.21722797900154048,1.0,0.5326991676575505
